,timestamp,quantity,price,fee,amount,side
299,2018-07-02 09:18:34,0.00407917,7039427,0,-28715,0
300,2018-07-02 09:18:41,0.07997917,7039571,0,-563019,0
301,2018-07-02 09:18:41,2.083e-05,7039571,0,-146,0
302,2018-07-02 09:22:10,0.0038,7109030,0,27014,1
303,2018-07-02 09:25:37,0.361,7024476,0,-2535835,0
304,2018-07-02 09:26:27,0.8065,7096088,0,5722994,1
305,2018-07-02 09:27:37,0.0047,7083537,0,33292,1
306,2018-07-02 09:27:37,0.01,7083537,0,70835,1
307,2018-07-02 09:27:37,0.005,7083537,0,35417,1
308,2018-07-02 09:27:41,0.0282,7082476,0,199725,1
309,2018-07-02 09:31:28,0.0078,7082767,0,55245,1
310,2018-07-02 09:31:28,0.01,7082767,0,70827,1
311,2018-07-02 09:34:39,0.0047,7004000,0,-32918,0
312,2018-07-02 09:35:12,0.004,7011111,0,-28044,0
313,2018-07-02 09:35:16,0.02,7010773,0,-140215,0
314,2018-07-02 09:35:20,0.08,7010148,0,-560811,0
315,2018-07-02 09:35:20,0.08,7010148,0,-560811,0
316,2018-07-02 09:35:21,0.08,7011039,0,-560883,0
317,2018-07-02 09:41:14,0.0039,6998802,0,-27295,0
318,2018-07-02 09:41:14,0.08,6998802,0,-559904,0
319,2018-07-02 09:42:57,0.022000000000000002,6994006,0,-153868,0
320,2018-07-02 09:46:48,0.7772,7065435,0,5491256,1
321,2018-07-02 09:53:17,1.0,7006489,0,-7006489,0
322,2018-07-02 09:57:48,0.0358,7082698,0,253560,1
323,2018-07-02 10:11:23,0.804,7009600,0,-5635718,0
324,2018-07-02 10:11:27,0.0028,7014463,0,-19640,0
325,2018-07-02 10:11:31,0.0028,7009883,0,-19627,0
326,2018-07-02 10:11:31,0.08,7009883,0,-560790,0
327,2018-07-02 10:11:35,0.08,7011648,0,-560931,0
328,2018-07-02 10:11:39,0.08,7011078,0,-560886,0
329,2018-07-02 10:34:27,0.0354,7084597,0,250794,1
330,2018-07-02 10:34:27,0.0301,7084597,0,213246,1
331,2018-07-02 10:35:58,0.021,7092821,0,148949,1
332,2018-07-02 10:39:54,0.004,7091147,0,28364,1
333,2018-07-02 10:41:12,0.0625,7084226,0,442764,1
334,2018-07-02 10:41:38,0.04,7090644,0,283625,1
335,2018-07-02 10:41:43,0.0924,7081281,0,654310,1
336,2018-07-02 10:41:54,0.0479,7079941,0,339129,1
337,2018-07-02 10:41:54,0.0798,7079941,0,564979,1
338,2018-07-02 10:41:54,0.42589438,7079941,0,3015307,1
339,2018-07-02 10:42:58,1.0,7073026,0,7073026,1
340,2018-07-02 10:42:58,0.0366,7073026,0,258872,1
341,2018-07-02 10:43:55,0.1382,7071984,0,977348,1
342,2018-07-02 10:47:41,0.1721,7011475,0,-1206674,0
343,2018-07-02 10:50:47,0.0999,7012797,0,-700578,0
344,2018-07-02 11:01:38,0.08,7014784,0,-561182,0
345,2018-07-02 11:01:38,0.08,7014784,0,-561182,0
346,2018-07-02 11:03:13,0.2389,7013164,0,-1675444,0
347,2018-07-02 11:03:13,0.0314,7013164,0,-220213,0
348,2018-07-02 11:03:49,0.0374,7015381,0,-262375,0
349,2018-07-02 11:15:10,0.019,7014663,0,-133278,0
350,2018-07-02 11:25:07,0.7587,7092127,0,5380796,1
351,2018-07-02 12:43:51,0.2819,7021821,0,-1979451,0
352,2018-07-02 13:01:38,0.2779,7100013,0,1973093,1
353,2018-07-02 13:07:12,0.004,7092767,0,28371,1
354,2018-07-02 13:39:23,0.3565,6982814,0,-2489373,0
355,2018-07-02 13:39:28,0.08,6983017,0,-558641,0
356,2018-07-02 13:41:57,0.0365,7049056,0,257290,1
357,2018-07-02 13:45:33,0.019,7051381,0,133976,1
358,2018-07-02 13:48:30,0.2651,6985928,0,-1851969,0
359,2018-07-02 13:54:28,0.0263,7052731,0,185486,1
360,2018-07-02 14:03:24,0.6198,7045133,0,4366573,1
361,2018-07-02 14:56:19,0.0683,6991259,0,-477502,0
362,2018-07-02 14:56:19,0.08,6991259,0,-559300,0
363,2018-07-02 14:56:20,0.0117,6991436,0,-81799,0
364,2018-07-02 15:11:08,0.0028,6980052,0,-19544,0
365,2018-07-02 15:11:35,0.0566,7034674,0,398162,1
366,2018-07-02 15:11:36,0.0636,7035295,0,447444,1
367,2018-07-02 15:13:55,0.004,7036298,0,28145,1
368,2018-07-02 15:16:11,0.0015,7032449,0,10548,1
369,2018-07-02 15:17:32,0.0013,7035617,0,9146,1
370,2018-07-02 15:17:36,0.0142,7031620,0,99849,1
371,2018-07-02 15:17:36,0.0004,7031620,0,2812,1
372,2018-07-02 15:17:36,0.0128,7031620,0,90004,1
373,2018-07-02 15:17:36,0.0084,7031620,0,59065,1
374,2018-07-02 15:19:24,0.006,6968834,0,-41813,0
375,2018-07-02 15:20:22,0.0043,7036110,0,30255,1
376,2018-07-02 15:20:23,0.0017,7036100,0,11961,1
377,2018-07-02 15:50:00,0.0042,6999039,0,-29395,0
