timestamp,quantity,price,fee,amount,side
2018-07-01 12:58:45,0.01,7078000,0,70780,1
2018-07-01 12:58:45,0.08,7078000,0,566240,1
2018-07-01 12:58:45,0.5444,7078000,0,3853263,1
2018-07-01 14:32:02,0.3288,7084000,0,-2329219,0
2018-07-01 14:34:55,0.0662,7083000,0,-468895,0
2018-07-01 14:46:28,0.1292,7111000,0,-918741,0
2018-07-01 14:46:47,0.1012,7110000,0,719532,1
2018-07-01 14:48:23,0.021,7129000,0,149709,1
2018-07-01 14:48:23,0.402,7129000,0,2865858,1
2018-07-01 14:49:46,0.0034,7109000,0,-24171,0
2018-07-01 14:50:44,6.221e-05,7113000,0,-442,0
2018-07-01 14:50:50,1.0,7115000,0,-7115000,0
2018-07-01 14:50:50,0.2326,7115000,0,-1654949,0
2018-07-01 14:50:54,0.062,7115000,0,-441130,0
2018-07-01 14:53:00,0.0098,7120000,0,-69776,0
2018-07-01 14:53:00,0.0212,7120000,0,-150944,0
2018-07-01 14:56:29,0.007,7112000,0,49784,1
2018-07-01 14:56:29,0.08,7112000,0,568960,1
2018-07-01 14:59:50,1.2421,7119000,0,8842510,1
2018-07-01 15:17:29,0.0067,7119000,0,-47697,0
2018-07-01 15:17:54,0.0067,7116000,0,47677,1
2018-07-01 15:25:28,0.1368,7107000,0,-972238,0
2018-07-01 15:33:26,0.1164,7106000,0,827138,1
2018-07-01 15:33:30,0.0204,7105000,0,144942,1
2018-07-01 15:38:33,0.0056,7112000,0,-39827,0
2018-07-01 15:38:37,0.0002,7115000,0,-1423,0
2018-07-01 15:38:37,0.1565,7115000,0,-1113498,0
2018-07-01 15:38:38,0.3523,7115000,0,-2506615,0
2018-07-01 15:38:41,0.5218,7117000,0,-3713651,0
2018-07-01 15:41:18,0.3006,7116000,0,-2139070,0
2018-07-01 15:43:00,0.139,7117000,0,-989263,0
2018-07-01 15:45:53,0.432,7118000,0,3074976,1
2018-07-01 15:48:33,1.044,7114000,0,7427016,1
2018-07-01 16:02:51,0.006,7108000,0,-42648,0
2018-07-01 16:08:25,0.006,7111000,0,42666,1
2018-07-01 16:22:43,0.1,7121000,0,-712100,0
2018-07-01 16:22:43,0.08,7121000,0,-569680,0
2018-07-01 16:29:33,0.18,7124000,0,1282320,1
2018-07-01 18:26:49,0.0065,7117000,0,-46261,0
2018-07-01 18:31:24,0.0065,7115000,0,46248,1
2018-07-01 18:57:55,0.402,7079000,0,-2845758,0
2018-07-01 18:59:10,0.402,7082000,0,2846964,1
2018-07-01 19:01:51,0.0439,7091000,0,-311295,0
2018-07-01 19:01:55,0.02,7093000,0,-141860,0
2018-07-01 19:02:00,0.015,7097000,0,-106455,0
2018-07-01 19:23:03,0.0789,7094000,0,559717,1
2018-07-01 19:48:57,0.3,7097000,0,-2129100,0
2018-07-01 19:48:57,0.08,7097000,0,-567760,0
2018-07-01 19:48:57,0.08,7097000,0,-567760,0
2018-07-01 19:48:57,0.08,7097000,0,-567760,0
2018-07-01 19:48:58,0.08,7097000,0,-567760,0
2018-07-01 19:48:58,0.02,7097000,0,-141940,0
2018-07-01 19:48:58,0.366,7097000,0,-2597502,0
2018-07-01 19:49:03,0.0052,7098000,0,-36910,0
2018-07-01 19:49:59,0.14,7096000,0,993440,1
2018-07-01 19:50:00,0.2792,7096000,0,1981203,1
2018-07-01 19:59:21,0.592,7114000,0,4211488,1
2018-07-01 20:05:46,0.02,7100000,0,-142000,0
2018-07-01 20:12:00,0.02,7102000,0,142040,1
2018-07-01 22:10:38,4.0,7076000,0,-28304000,0
2018-07-01 23:27:40,0.3096,7067000,0,2187943,1
2018-07-01 23:27:45,3.6904,7064000,0,26068986,1
2018-07-01 23:36:57,0.0077,7009000,0,-53969,0
2018-07-01 23:37:25,0.0438,7019000,0,-307432,0
2018-07-01 23:37:35,0.0432,7012000,0,-302918,0
2018-07-01 23:37:39,0.005,7019000,0,-35095,0
2018-07-01 23:39:21,0.0908,7029000,0,-638233,0
2018-07-01 23:39:25,0.0001,7030000,0,-703,0
2018-07-01 23:40:46,0.1906,7023000,0,1338584,1
2018-07-01 23:42:14,0.9836,7023000,0,-6907823,0
2018-07-01 23:42:14,0.021,7023000,0,-147483,0
2018-07-01 23:42:44,0.01,7028000,0,-70280,0
2018-07-01 23:42:44,0.0046,7028000,0,-32329,0
2018-07-01 23:42:48,0.0523,7034000,0,-367878,0
2018-07-01 23:42:52,0.1421,7036000,0,-999816,0
2018-07-01 23:44:53,0.021,7038000,0,147798,1
2018-07-01 23:44:53,0.141,7038000,0,992358,1
2018-07-01 23:45:32,0.0098,7044000,0,69031,1
2018-07-01 23:46:01,0.4307,7040000,0,3032128,1
2018-07-01 23:52:57,1.468,7030000,0,-10320040,0
2018-07-02 00:00:22,0.5468,7018000,0,3837442,1
2018-07-02 00:00:39,0.0092,7019000,0,-64575,0
2018-07-02 00:01:16,0.08,7023000,0,-561840,0
2018-07-02 00:01:16,0.08,7023000,0,-561840,0
2018-07-02 00:01:16,0.0074,7023000,0,-51970,0
2018-07-02 00:05:41,2.2911,7017000,0,-16076649,0
2018-07-02 00:39:09,0.1428,7000000,0,999600,1
2018-07-02 00:39:09,0.0714,7000000,0,499800,1
2018-07-02 00:39:09,0.0149,7000000,0,104300,1
2018-07-02 00:39:09,0.0171,7000000,0,119700,1
2018-07-02 00:39:09,0.0474,7000000,0,331800,1
2018-07-02 00:39:09,2.0,7000000,0,14000000,1
2018-07-02 00:39:09,0.0192,7000000,0,134400,1
2018-07-02 00:39:09,0.0685,7000000,0,479500,1
2018-07-02 00:39:10,0.01,7000000,0,70000,1
